,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
0,iris,CS3F,0.1832743701277735,0.2965675257148077,0.0,0.0,0.0,0.9545834282676386,0.9883040935672516,0.9731399205083416,0.85,0.7333333333333333,13.083088159561155,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9326599326599326,1.0,0.9326599326599326,0.0,0.0,0.0,0.9530138477506898,0.9866332497911444,0.9933166248955724,0.0,0.0,0.0,0.9326599326599326,0.9665831244778612,0.9665831244778612
1,wine,CS3F,0.8402245353324456,1.467088941922847,0.0,0.0,0.0,0.938396880519158,0.972216255345112,0.938396880519158,0.9295774647887324,0.8888888888888888,46.4298779964447,0.0,0.0,0.0,0.9487179487179486,0.9487179487179486,0.9487179487179486,0.0,0.0,0.0,0.83390768588137,0.9709618874773142,0.83390768588137,0.0,0.0,0.0,1.0,0.994864197530864,1.0,0.0,0.0,0.0,0.9709618874773142,0.9743209876543212,0.9709618874773142
2,parkinsons,CS3F,1.6501936758801077,1.9692964178795973,0.0,0.0,0.0,0.7598386641036904,0.6166248194882865,0.7570674205907799,0.6666666666666666,0.8717948717948718,93.52618885040285,0.0,0.0,0.0,0.6416040100250626,0.5787037037037037,0.6637931034482758,0.0,0.0,0.0,0.7982758620689655,0.6068548387096774,0.7982758620689655,0.0,0.0,0.0,0.7894098492557988,0.642051846650876,0.7467562724014336,0.0,0.0,0.0,0.8100649350649349,0.638888888888889,0.8194444444444444
3,climate_model_crashes,CS3F,2.8036471069399265,3.7053342242825154,0.0,0.0,0.0,0.7937262026673598,0.7677591356099835,0.8086413758852455,0.9537037037037036,0.9814814814814816,163.99718022346497,0.0,0.0,0.0,0.8787878787878788,0.8346938775510204,0.8787878787878788,0.0,0.0,0.0,0.8403783624002364,0.7290322580645161,0.8153846153846154,0.0,0.0,0.0,0.5769506906934452,0.642310406824398,0.607893009368488,0.0,0.0,0.0,0.8787878787878788,0.865,0.9325
4,concrete_compression,CS3F,0.468241590517609,0.6427235396495189,0.8185190028699534,0.6935254854475441,0.8093653443626314,0.0,0.0,0.0,0.5910194174757282,0.8106796116504854,88.26420307159424,0.6368981103411095,0.5510162183103582,0.6188073731671455,0.0,0.0,0.0,0.7825653188830417,0.731216535793374,0.7825661425992414,0.0,0.0,0.0,0.9222031666297946,0.7520486162751563,0.9073977063726528,0.0,0.0,0.0,0.932409415625868,0.739820571411288,0.928690155311486,0.0,0.0,0.0
5,yacht_hydrodynamics,CS3F,0.4427651052524583,0.6701512545629791,0.8714092857082902,0.8512488848397963,0.8858676798070859,0.0,0.0,0.0,0.6626016260162602,0.7096774193548387,12.933599948883057,0.4994718741031844,0.5974940952636582,0.5608836475243504,0.0,0.0,0.0,0.9904080662404062,0.9839932276424102,0.9914091904083658,0.0,0.0,0.0,0.9983601714116144,0.9874166073444488,0.9983338745237316,0.0,0.0,0.0,0.9973970310779556,0.8360916091086681,0.9928440067718958,0.0,0.0,0.0
6,airfoil_self_noise,CS3F,0.2856461834159476,0.3667552314793495,0.7750743012357671,0.627664456998955,0.7573600215263994,0.0,0.0,0.0,0.391846921797005,0.7375415282392026,74.41790628433228,0.5585557273101005,0.3679470702134155,0.5201893892984293,0.0,0.0,0.0,0.6577249085617589,0.5696050192035539,0.6556537635386456,0.0,0.0,0.0,0.9323861358635162,0.7813764354329581,0.9219210059456332,0.0,0.0,0.0,0.951630433207693,0.7917293031458925,0.931675927322889,0.0,0.0,0.0
7,connectionist_bench_sonar,CS3F,6.92514170836921,8.712879389443437,0.0,0.0,0.0,0.8103600442594457,0.7928763515974205,0.7993356675129758,0.8734939759036144,0.8809523809523809,606.6454501152039,0.0,0.0,0.0,0.6190476190476191,0.7855927396483267,0.6597222222222222,0.0,0.0,0.0,0.8090909090909091,0.7343300747556067,0.7855927396483267,0.0,0.0,0.0,0.8847707356831462,0.8262706490267472,0.8948848510384975,0.0,0.0,0.0,0.9285309132161088,0.8253119429590018,0.8571428571428572
8,ionosphere,CS3F,2.6316068025766293,4.899910385174458,0.0,0.0,0.0,0.9275849233715272,0.8935901959219551,0.9160392355190864,0.8178571428571428,0.943661971830986,564.0288887023926,0.0,0.0,0.0,0.8786324786324786,0.8111702127659575,0.8207070707070707,0.0,0.0,0.0,0.9541047188106012,0.9055851063829788,0.9532587228439764,0.0,0.0,0.0,0.940545758454377,0.9371127433742706,0.9531344109366464,0.0,0.0,0.0,0.9370567375886524,0.9204927211646136,0.9370567375886524
9,qsar_biodegradation,CS3F,1.333695839203417,1.6214224129526238,0.0,0.0,0.0,0.8516056304548423,0.7756373356654702,0.8411991923467064,0.5379146919431279,0.8009478672985783,666.1512279510498,0.0,0.0,0.0,0.8638534004387664,0.8020419426048565,0.8517834378333377,0.0,0.0,0.0,0.8216673069535152,0.8048759983186213,0.842069944508969,0.0,0.0,0.0,0.8668103814651207,0.7428598830362854,0.8265809002162785,0.0,0.0,0.0,0.8540914329619669,0.752771518702118,0.8443624868282402
