,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
0,iris,CS3F,0.1773561703395514,0.2928371123274291,0.0,0.0,0.0,0.9545834282676386,0.9949874686716792,0.9748107642844484,0.9,0.8,19.13218593597412,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9326599326599326,1.0,0.9326599326599326,0.0,0.0,0.0,0.9530138477506898,0.9799498746867168,1.0,0.0,0.0,0.0,0.9326599326599326,1.0,0.9665831244778612
1,wine,CS3F,0.7415887533505775,1.4133257242169348,0.0,0.0,0.0,0.938396880519158,0.9538278388278388,0.9535533178080324,0.9647887323943662,0.8888888888888888,60.668527126312256,0.0,0.0,0.0,0.9487179487179486,0.8968253968253967,0.9487179487179486,0.0,0.0,0.0,0.83390768588137,0.9184859584859584,0.8945334350368674,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9709618874773142,1.0,0.9709618874773142
2,parkinsons,CS3F,1.2068629966737758,1.682203689698513,0.0,0.0,0.0,0.7598386641036904,0.7157370981128814,0.7678116528073444,0.8141025641025641,0.8974358974358975,118.2936670780182,0.0,0.0,0.0,0.6416040100250626,0.6762264150943397,0.6637931034482758,0.0,0.0,0.0,0.7982758620689655,0.7310344827586206,0.7982758620689655,0.0,0.0,0.0,0.7894098492557988,0.7246530118399445,0.8152153815611931,0.0,0.0,0.0,0.8100649350649349,0.7310344827586206,0.7939622641509434
3,climate_model_crashes,CS3F,2.776475930789324,3.688964288184532,0.0,0.0,0.0,0.7937262026673598,0.7697348022889862,0.8221737073020399,0.9560185185185184,1.0,194.6530659198761,0.0,0.0,0.0,0.8787878787878788,0.7512041884816754,0.8787878787878788,0.0,0.0,0.0,0.8403783624002364,0.7671957671957672,0.8153846153846154,0.0,0.0,0.0,0.5769506906934452,0.7201608910782658,0.6620223350356653,0.0,0.0,0.0,0.8787878787878788,0.8403783624002364,0.9325
4,concrete_compression,CS3F,0.472196409364628,0.64070572495399,0.8185190028699534,0.6932584783988157,0.8124491924620755,0.0,0.0,0.0,0.6116504854368932,0.8495145631067961,97.6948869228363,0.6368981103411095,0.4699044622375961,0.6221989632796898,0.0,0.0,0.0,0.7825653188830417,0.7296404252818851,0.7801649473898674,0.0,0.0,0.0,0.9222031666297946,0.7929965834218499,0.9174995725338148,0.0,0.0,0.0,0.932409415625868,0.7804924426539319,0.9299332866449296,0.0,0.0,0.0
5,yacht_hydrodynamics,CS3F,0.5079451289780452,0.6900944160696744,0.8714092857082902,0.8541634799845774,0.8894369317687841,0.0,0.0,0.0,0.4878048780487805,0.7419354838709677,16.04882788658142,0.4994718741031844,0.605303322065513,0.5740380817007357,0.0,0.0,0.0,0.9904080662404062,0.9753712549636736,0.9891897385400434,0.0,0.0,0.0,0.9983601714116144,0.9866263914725948,0.9975501905670796,0.0,0.0,0.0,0.9973970310779556,0.8493529514365281,0.996969716267278,0.0,0.0,0.0
6,airfoil_self_noise,CS3F,0.2107760600752186,0.3317972936428721,0.7750743012357671,0.6459448194771997,0.7628690015830197,0.0,0.0,0.0,0.5266222961730449,0.8538205980066446,85.94970607757568,0.5585557273101005,0.487779681822668,0.5423274298923628,0.0,0.0,0.0,0.6577249085617589,0.5559953816434113,0.6499361853237713,0.0,0.0,0.0,0.9323861358635162,0.8171859215992897,0.9252205741730184,0.0,0.0,0.0,0.951630433207693,0.7228182928434299,0.9339918169429268,0.0,0.0,0.0
7,connectionist_bench_sonar,CS3F,6.354171123022289,8.56884622124358,0.0,0.0,0.0,0.8103600442594457,0.7895131098195304,0.7958441002811394,0.8734939759036144,0.9047619047619048,727.9180929660797,0.0,0.0,0.0,0.6190476190476191,0.7597254004576659,0.6181818181818182,0.0,0.0,0.0,0.8090909090909091,0.7343300747556067,0.8324786324786324,0.0,0.0,0.0,0.8847707356831462,0.8330596437658264,0.8758977686459251,0.0,0.0,0.0,0.9285309132161088,0.8309373202990225,0.8568181818181818
8,ionosphere,CS3F,2.941259532896954,4.780852322626242,0.0,0.0,0.0,0.9275849233715272,0.906061057893864,0.918175089080909,0.875,0.9014084507042254,361.9589900970459,0.0,0.0,0.0,0.8786324786324786,0.8070652173913044,0.8505892255892256,0.0,0.0,0.0,0.9541047188106012,0.9522956326987682,0.9532587228439764,0.0,0.0,0.0,0.940545758454377,0.9278266438967308,0.9317956703017812,0.0,0.0,0.0,0.9370567375886524,0.9370567375886524,0.9370567375886524
9,qsar_biodegradation,CS3F,1.2504790721073424,1.5829829967473985,0.0,0.0,0.0,0.8516056304548423,0.8053709476083857,0.8380376077943714,0.5888625592417062,0.8293838862559242,960.4984760284424,0.0,0.0,0.0,0.8638534004387664,0.808953722334004,0.8469112769485905,0.0,0.0,0.0,0.8216673069535152,0.7981505102040818,0.8264088852324146,0.0,0.0,0.0,0.8668103814651207,0.8055604700066018,0.840721424379183,0.0,0.0,0.0,0.8540914329619669,0.8088190878888553,0.8381088446172977
10,seeds,CS3F,0.282489214866681,0.5141188986705852,0.0,0.0,0.0,0.8854938945811156,0.8487429633221253,0.8866767219708395,0.9464285714285714,0.9285714285714286,37.453948974609375,0.0,0.0,0.0,0.952136752136752,0.9761600681140912,0.952136752136752,0.0,0.0,0.0,0.690296631473102,0.5403915081334436,0.690296631473102,0.0,0.0,0.0,0.9474054425778562,0.9262835249042146,0.952136752136752,0.0,0.0,0.0,0.952136752136752,0.952136752136752,0.952136752136752
