,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
0,iris,FF,0.19758064,0.32990478,0.0,0.0,0.0,0.95458343,0.94792537,0.96476039,0.91666667,0.86666667,24.849014,0.0,0.0,0.0,1.0,0.96658312,1.0,0.0,0.0,0.0,0.93265993,0.93265993,0.93265993,0.0,0.0,0.0,0.95301385,0.95979849,0.95979849,0.0,0.0,0.0,0.93265993,0.93265993,0.96658312
1,wine,FF,0.88426443,1.43558677,0.0,0.0,0.0,0.93839688,0.96701479,0.96635525,0.97183099,0.91666667,201.748714,0.0,0.0,0.0,0.94871795,0.94871795,0.94871795,0.0,0.0,0.0,0.83390769,0.9193412,0.94574116,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.97096189,1.0,0.97096189
2,parkinsons,FF,1.10315112,1.72230179,0.0,0.0,0.0,0.75983866,0.72848097,0.75728723,0.85897436,0.87179487,421.836799,0.0,0.0,0.0,0.64160401,0.66086957,0.64160401,0.0,0.0,0.0,0.79827586,0.73103448,0.72252964,0.0,0.0,0.0,0.78940985,0.71195488,0.85495035,0.0,0.0,0.0,0.81006494,0.81006494,0.81006494
3,climate_model_crashes,FF,2.80288579,3.74061479,0.0,0.0,0.0,0.7937262,0.71586227,0.78699169,0.99305556,0.98148148,373.991641,0.0,0.0,0.0,0.87878788,0.8557307,0.87878788,0.0,0.0,0.0,0.84037836,0.58498374,0.76263736,0.0,0.0,0.0,0.57695069,0.65187183,0.65929966,0.0,0.0,0.0,0.87878788,0.7708628,0.84724187
4,concrete_compression,FF,0.322739,0.56793981,0.818519,0.7698395,0.80803198,0.0,0.0,0.0,0.6868932,0.87864078,136.035279,0.63689811,0.62379929,0.63406012,0.0,0.0,0.0,0.78256532,0.75817295,0.77585362,0.0,0.0,0.0,0.92220317,0.84754254,0.90801036,0.0,0.0,0.0,0.93240942,0.8498432,0.9142038,0.0,0.0,0.0
5,yacht_hydrodynamics,FF,0.25972592,0.58651327,0.87140929,0.87572264,0.87514743,0.0,0.0,0.0,0.79674797,0.91935484,37.197253,0.49947187,0.52286358,0.51741112,0.0,0.0,0.0,0.99040807,0.9906788,0.98907865,0.0,0.0,0.0,0.99836017,0.99564475,0.99726629,0.0,0.0,0.0,0.99739703,0.99370343,0.99683367,0.0,0.0,0.0
6,airfoil_self_noise,FF,0.12939727,0.25725122,0.7750743,0.7302366,0.76731316,0.0,0.0,0.0,0.79783694,0.96013289,110.075671,0.55855573,0.55221184,0.55744262,0.0,0.0,0.0,0.65772491,0.6430816,0.64085437,0.0,0.0,0.0,0.93238614,0.86027166,0.93373208,0.0,0.0,0.0,0.95163043,0.86538132,0.93722355,0.0,0.0,0.0
7,connectionist_bench_sonar,FF,6.28988044,8.34373767,0.0,0.0,0.0,0.81036004,0.72954079,0.80384962,0.87349398,0.9047619,3103.40773,0.0,0.0,0.0,0.61904762,0.61904762,0.71167048,0.0,0.0,0.0,0.80909091,0.73794668,0.76190476,0.0,0.0,0.0,0.88477074,0.82322217,0.88500506,0.0,0.0,0.0,0.92853091,0.73794668,0.85681818
8,ionosphere,FF,3.37380257,4.29426659,0.0,0.0,0.0,0.92839307,0.89846551,0.90977024,0.81071429,0.91549296,1056.76457,0.0,0.0,0.0,0.87863248,0.78391304,0.81794872,0.0,0.0,0.0,0.95410472,0.95410472,0.93705674,0.0,0.0,0.0,0.94377836,0.95025915,0.94701876,0.0,0.0,0.0,0.93705674,0.90558511,0.93705674
9,qsar_biodegradation,FF,1.09031981,1.484814,0.0,0.0,0.0,0.84940186,0.8444672,0.85452098,0.68483412,0.92417062,1993.34277,0.0,0.0,0.0,0.85895722,0.84206994,0.85784619,0.0,0.0,0.0,0.82166731,0.8346395,0.84654545,0.0,0.0,0.0,0.86289148,0.85060453,0.85206745,0.0,0.0,0.0,0.85409143,0.85055481,0.86162483
10,seeds,FF,0.30956999,0.56094098,0.0,0.0,0.0,0.88549389,0.79368742,0.8651906,0.93452381,0.85714286,64.925072,0.0,0.0,0.0,0.95213675,0.92838196,0.95213675,0.0,0.0,0.0,0.69029663,0.45472386,0.63275236,0.0,0.0,0.0,0.94740544,0.86316366,0.92373654,0.0,0.0,0.0,0.95213675,0.9284802,0.95213675
11,glass,FF,0.37845503,0.71255404,0.0,0.0,0.0,0.57813152,0.49981111,0.57796518,0.95321637,0.90697674,163.082597,0.0,0.0,0.0,0.47997835,0.50874788,0.52281746,0.0,0.0,0.0,0.42628205,0.26394558,0.43382114,0.0,0.0,0.0,0.7576215,0.68210652,0.72652094,0.0,0.0,0.0,0.64864418,0.54444444,0.62870116
12,ecoli,FF,0.27317478,0.43698523,0.0,0.0,0.0,0.692658,0.65565149,0.68538536,0.92537313,0.95588235,112.801117,0.0,0.0,0.0,0.80223656,0.65129056,0.69087809,0.0,0.0,0.0,0.26062522,0.32210782,0.42163236,0.0,0.0,0.0,0.86936152,0.81069859,0.86374636,0.0,0.0,0.0,0.83840872,0.83850899,0.76528462
