,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
0,iris,HS3F,0.1832743701,0.2965675257,0.0,0.0,0.0,0.9545834283,0.9883040936,0.9731399205,0.85,0.7333333333,13.00048161,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9326599327,1.0,0.9326599327,0.0,0.0,0.0,0.9530138478,0.9866332498,0.9933166249,0.0,0.0,0.0,0.9326599327,0.9665831245,0.9665831245
1,wine,HS3F,0.8402245353,1.467088942,0.0,0.0,0.0,0.9383968805,0.9722162553,0.9383968805,0.9295774648,0.8888888889,53.32703805,0.0,0.0,0.0,0.9487179487,0.9487179487,0.9487179487,0.0,0.0,0.0,0.8339076859,0.9709618875,0.8339076859,0.0,0.0,0.0,1.0,0.9948641975,1.0,0.0,0.0,0.0,0.9709618875,0.9743209877,0.9709618875
2,parkinsons,HS3F,1.650193676,1.969296418,0.0,0.0,0.0,0.7598386641,0.6166248195,0.7570674206,0.6666666667,0.8717948718,103.6039212,0.0,0.0,0.0,0.64160401,0.5787037037,0.6637931034,0.0,0.0,0.0,0.7982758621,0.6068548387,0.7982758621,0.0,0.0,0.0,0.7894098493,0.6420518467,0.7467562724,0.0,0.0,0.0,0.8100649351,0.6388888889,0.8194444444
3,climate_model_crashes,HS3F,2.803647107,3.705334224,0.0,0.0,0.0,0.7937262027,0.7677591356,0.8086413759,0.9537037037,0.9814814815,185.23629,0.0,0.0,0.0,0.8787878788,0.8346938776,0.8787878788,0.0,0.0,0.0,0.8403783624,0.7290322581,0.8153846154,0.0,0.0,0.0,0.5769506907,0.6423104068,0.6078930094,0.0,0.0,0.0,0.8787878788,0.865,0.9325
4,concrete_compression,HS3F,0.4682415905,0.6427235396,0.8185190029,0.6935254854,0.8093653444,0.0,0.0,0.0,0.5910194175,0.8106796117,99.38961673,0.6368981103,0.5510162183,0.6188073732,0.0,0.0,0.0,0.7825653189,0.7312165358,0.7825661426,0.0,0.0,0.0,0.9222031666,0.7520486163,0.9073977064,0.0,0.0,0.0,0.9324094156,0.7398205714,0.9286901553,0.0,0.0,0.0
5,yacht_hydrodynamics,HS3F,0.4427651053,0.6701512546,0.8714092857,0.8512488848,0.8858676798,0.0,0.0,0.0,0.662601626,0.7096774194,14.85814095,0.4994718741,0.5974940953,0.5608836475,0.0,0.0,0.0,0.9904080662,0.9839932276,0.9914091904,0.0,0.0,0.0,0.9983601714,0.9874166073,0.9983338745,0.0,0.0,0.0,0.9973970311,0.8360916091,0.9928440068,0.0,0.0,0.0
6,airfoil_self_noise,HS3F,0.2856461834,0.3667552315,0.7750743012,0.627664457,0.7573600215,0.0,0.0,0.0,0.3918469218,0.7375415282,93.19904613,0.5585557273,0.3679470702,0.5201893893,0.0,0.0,0.0,0.6577249086,0.5696050192,0.6556537635,0.0,0.0,0.0,0.9323861359,0.7813764354,0.9219210059,0.0,0.0,0.0,0.9516304332,0.7917293031,0.9316759273,0.0,0.0,0.0
7,connectionist_bench_sonar,HS3F,6.925141708,8.712879389,0.0,0.0,0.0,0.8103600443,0.7928763516,0.7993356675,0.8734939759,0.880952381,699.7104969,0.0,0.0,0.0,0.619047619,0.7855927396,0.6597222222,0.0,0.0,0.0,0.8090909091,0.7343300748,0.7855927396,0.0,0.0,0.0,0.8847707357,0.826270649,0.894884851,0.0,0.0,0.0,0.9285309132,0.825311943,0.8571428571
8,ionosphere,HS3F,2.631606803,4.899910385,0.0,0.0,0.0,0.9275849234,0.8935901959,0.9160392355,0.8178571429,0.9436619718,301.8009119,0.0,0.0,0.0,0.8786324786,0.8111702128,0.8207070707,0.0,0.0,0.0,0.9541047188,0.9055851064,0.9532587228,0.0,0.0,0.0,0.9405457585,0.9371127434,0.9531344109,0.0,0.0,0.0,0.9370567376,0.9204927212,0.9370567376
9,qsar_biodegradation,HS3F,1.333695839,1.621422413,0.0,0.0,0.0,0.8516056305,0.7756373357,0.8411991923,0.5379146919,0.8009478673,715.980222,0.0,0.0,0.0,0.8638534004,0.8020419426,0.8517834378,0.0,0.0,0.0,0.821667307,0.8048759983,0.8420699445,0.0,0.0,0.0,0.8668103815,0.742859883,0.8265809002,0.0,0.0,0.0,0.854091433,0.7527715187,0.8443624868
