,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
0,iris,HS3F,0.17735617,0.29283711,0.0,0.0,0.0,0.95458343,0.99498747,0.97481076,0.9,0.8,16.0799689,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.93265993,1.0,0.93265993,0.0,0.0,0.0,0.95301385,0.97994987,1.0,0.0,0.0,0.0,0.93265993,1.0,0.96658312
1,wine,HS3F,0.74158875,1.41332572,0.0,0.0,0.0,0.93839688,0.95382784,0.95355332,0.96478873,0.88888889,61.7655199,0.0,0.0,0.0,0.94871795,0.8968254,0.94871795,0.0,0.0,0.0,0.83390769,0.91848596,0.89453344,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.97096189,1.0,0.97096189
2,parkinsons,HS3F,1.206863,1.68220369,0.0,0.0,0.0,0.75983866,0.7157371,0.76781165,0.81410256,0.8974359,133.970023,0.0,0.0,0.0,0.64160401,0.67622642,0.6637931,0.0,0.0,0.0,0.79827586,0.73103448,0.79827586,0.0,0.0,0.0,0.78940985,0.72465301,0.81521538,0.0,0.0,0.0,0.81006494,0.73103448,0.79396226
3,climate_model_crashes,HS3F,2.77647593,3.68896429,0.0,0.0,0.0,0.7937262,0.7697348,0.82217371,0.95601852,1.0,207.128656,0.0,0.0,0.0,0.87878788,0.75120419,0.87878788,0.0,0.0,0.0,0.84037836,0.76719577,0.81538462,0.0,0.0,0.0,0.57695069,0.72016089,0.66202234,0.0,0.0,0.0,0.87878788,0.84037836,0.9325
4,concrete_compression,HS3F,0.47219641,0.64070572,0.818519,0.69325848,0.81244919,0.0,0.0,0.0,0.61165049,0.84951456,103.193856,0.63689811,0.46990446,0.62219896,0.0,0.0,0.0,0.78256532,0.72964043,0.78016495,0.0,0.0,0.0,0.92220317,0.79299658,0.91749957,0.0,0.0,0.0,0.93240942,0.78049244,0.92993329,0.0,0.0,0.0
5,yacht_hydrodynamics,HS3F,0.50794513,0.69009442,0.87140929,0.85416348,0.88943693,0.0,0.0,0.0,0.48780488,0.74193548,19.7025111,0.49947187,0.60530332,0.57403808,0.0,0.0,0.0,0.99040807,0.97537125,0.98918974,0.0,0.0,0.0,0.99836017,0.98662639,0.99755019,0.0,0.0,0.0,0.99739703,0.84935295,0.99696972,0.0,0.0,0.0
6,airfoil_self_noise,HS3F,0.21077606,0.33179729,0.7750743,0.64594482,0.762869,0.0,0.0,0.0,0.5266223,0.8538206,92.5833402,0.55855573,0.48777968,0.54232743,0.0,0.0,0.0,0.65772491,0.55599538,0.64993619,0.0,0.0,0.0,0.93238614,0.81718592,0.92522057,0.0,0.0,0.0,0.95163043,0.72281829,0.93399182,0.0,0.0,0.0
7,connectionist_bench_sonar,HS3F,6.35417112,8.56884622,0.0,0.0,0.0,0.81036004,0.78951311,0.7958441,0.87349398,0.9047619,785.762407,0.0,0.0,0.0,0.61904762,0.7597254,0.61818182,0.0,0.0,0.0,0.80909091,0.73433007,0.83247863,0.0,0.0,0.0,0.88477074,0.83305964,0.87589777,0.0,0.0,0.0,0.92853091,0.83093732,0.85681818
8,ionosphere,HS3F,2.94125953,4.78085232,0.0,0.0,0.0,0.92758492,0.90606106,0.91817509,0.875,0.90140845,390.587519,0.0,0.0,0.0,0.87863248,0.80706522,0.85058923,0.0,0.0,0.0,0.95410472,0.95229563,0.95325872,0.0,0.0,0.0,0.94054576,0.92782664,0.93179567,0.0,0.0,0.0,0.93705674,0.93705674,0.93705674
9,qsar_biodegradation,HS3F,1.25047907,1.582983,0.0,0.0,0.0,0.85160563,0.80537095,0.83803761,0.58886256,0.82938389,844.300997,0.0,0.0,0.0,0.8638534,0.80895372,0.84691128,0.0,0.0,0.0,0.82166731,0.79815051,0.82640889,0.0,0.0,0.0,0.86681038,0.80556047,0.84072142,0.0,0.0,0.0,0.85409143,0.80881909,0.83810884
